id,no_farmacia,ds_endereco_farmacia,no_cidade,uf
740,FARMACIA UNIFARMA LTDA ME,"CIDADE MINEIRA VELHA, Nº 34",CRICIUMA,SC
741,ELSON REBOLHO & CIA LTDA,"TAPEJARA, Nº 701",PARAISO DO NORTE,PR
742,"SARAFARM - FARMACIA, DROGARIA E PERFUMARIA LTDA - ME","R PORTAO, 3015 - SALA 7",ESTANCIA VELHA,RS
743,ANDRETA & ANDRETA LTDA EPP,RUA DR. FRANCISCO BELTRÃO Nº22,CORONEL VIVIDA,PR
744,ASSOCIACAO DR BARTHOLOMEU TACCHINI,"RUA SENADOR ALBERTO PASQUALINI, 823- ANDAR TERREO",GUAPORE,RS
745,DROGARIA MAIS ECONOMICA LTDA,"GENERAL OSORIO, 1098",CANGUCU,RS
746,REDE NOVA CENTRO MEDICO MEDICAMENTOS LTDA. EPP,"MANOEL MENDES DE CAMARGO, 691, SALA I2",CAMPO MOURAO,PR
747,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA JULIO DE CASTILHOS, 429 - LOJA A",CANELA,RS
748,FARMACIA LEANDRO LTDA EPP,"AV ARISTILIANO RAMOS, 1377",RIO DO SUL,SC
749,FARMACIA VIDAL LTDA EPP,"R. DO COMERCIO, 270",IPIRANGA DO SUL,RS
750,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"RUA SETE DE SETEMBRO, Nº 1213",BLUMENAU,SC
751,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA MARECHAL DEODORO, 55",LAGES,SC
752,DROGARIA MAIS ECONOMICA LTDA,"SALDANHA MARINHO, 290",BENTO GONCALVES,RS
753,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"AVENIDA LIBERDADE, Nº 1381",VIAMAO,RS
754,DROGARIA VIDA E VIDA LTDA,"AV PEDRO PINTO DE SOUZA, 63, SALA",ERECHIM,RS
755,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AV QUINZE DE NOVEMBRO 760,JOACABA,SC
756,ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,"RUA CORONEL ANDRE ULSON JUNIOR, 160",ARARAS,SP
757,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA CORONEL LAGO, 1878",SAO BORJA,RS
758,CIA LATINO AMERICANA DE MEDICAMENTOS,"Rua Joao Sacavem, 571 - sala 03",NAVEGANTES,SC
759,DISTRIBUIDORA BIG BENN LTDA,"BR 316, 1280, KM 09",ANANINDEUA,PA
760,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA MARECHAL FLORIANO PEIXOTO, 707",SOLEDADE,RS
761,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA REVERENDO AMERICO VESPUCIO CABRAL, 667",VIAMAO,RS
762,DROGABEM COMERCIO DE MEDICAMENTOS LIMITADA,"RUA ANDRE FERREIRA BARBOSA, SN, LOJAS 09 10 E 11",CURITIBA,PR
763,FARMACIA E DROGARIA NISSEI LTDA,AVENIDA MANOEL RIBAS 6250,CURITIBA,PR
764,FARMACIA E DROGARIA NISSEI LTDA,"AVENIDA MANOEL RIBAS, Nº 6239",CURITIBA,PR
765,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AV. INDEPENDECIA Nº155,PORTO ALEGRE,RS
766,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA GASPAR MARTINS, 168",ALEGRETE,RS
767,HOSPITAL SAO ROQUE,"AV BRASIL, 61 - A",SEVERIANO DE ALMEIDA,RS
768,DROGARIA E FARMACIA PLANTAO LTDA EPP.,"15 DE NOVEMBRO,60,calçadão do centro",LAGUNA,SC
769,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA PAROBE, 348 (ESQUINA REINALDO BECKER, 320)",SAO LEOPOLDO,RS
770,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA GETULIO VARGAS, 418 - LOJA 01",IJUI,RS
771,RAFAEL PETRICOSKI. - EPP,RUA CASTRO ALVES Nº 195,SAO MIGUEL DO IGUACU,PR
772,FARMACIA ATLANTICA LTDA ME,"RUA ADMAR GONZAGA, 2589",FLORIANOPOLIS,SC
773,DE MARCO & DE MARCO LTDA/EPP,"R CURITIBA, 1405, SALA",CEU AZUL,PR
774,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA PRESIDENTE ROOSEVELT, 594",SAO LEOPOLDO,RS
775,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA JULIO DE CASTILHOS, 2534, LOJA 03",CAXIAS DO SUL,RS
776,JAIRO M CARRAPEIRO & CIA LTDA,DR GENARO RESENDE 1387,CAMBARA,PR
777,DROGARIA E FARMÁCIA CATARINENSE S/A,"AVENIDA GETULIO VARGAS, Nº 1343",JOINVILLE,SC
778,FARMACIA BASEGGIO LTDA,"AV. SILVIO SANSON, Nº 1072",GUAPORE,RS
779,FARMACIA CONFIANÇA LTDA - EPP,"AVENIDA BRASIL, Nº 26",CAMBE,PR
780,MAIA & SANCHES LTDA - ME,"PCA, DAS NACOES UNIDAS - BOX 4 E 5, 0, ESTACAO RODOVIARIA",IPORA,PR
781,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA QUINZE DE NOVEMBRO, 7249 - Sala 01 e 02",JOINVILLE,SC
782,FARMÁCIA VALE VERDE LTDA,RUA PROFESSOR JOÃO CÂNDIDO Nº 134,LONDRINA,PR
783,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA RUA ITAJAI, 486",BLUMENAU,SC
784,DROGARIA MAIS ECONOMICA LTDA,"JOAQUIM NABUCO, 182",CANOAS,RS
785,VICTOR PRODUTOS FARMACEUTICOS LTDA ME,"RUA 15 DE NOVEMBRO, 138, CASA",POJUCA,BA
786,DROGARIA GUAJUVIRA LTDA,"JOSE LOUREIRO DA SILVA, Nº 1408",GRAVATAI,RS
787,REDE SUL FARMACIA E DROGARIA LTDA. ME.,"AVENIDA DEPUTADO DIOMICIO FREITAS, 2664",FLORIANOPOLIS,SC
788,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA VINTE E QUATRO DE MAIO, 372 - 374",RIO GRANDE,RS
789,FARMACIA SÃO LUCAS LTDA,RUA PORTO ALEGRE N°115-D,CHAPECO,SC
790,MARIA LUIZA DE AMORIM COSTA - ME,"R. JOAO LUIZ DUARTE, 840, SALA 02",BIGUACU,SC
791,FARMALAN COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,"LUIZ ABRY, 695",POMERODE,SC
792,DROGARIA SAUDE OLIMPIA LTDA. - EPP,"AV AURORA FORTI NEVES, 509",OLIMPIA,SP
793,ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,"avenida NOVE DE ABRIL, 220",MOGI GUACU,SP
794,CIA LATINO AMERICANA DE MEDICAMENTOS,Avenida GETULIO DORNELES VARGAS 853 Terreo,CHAPECO,SC
795,DROGARIA MAIS ECONOMICA S.A.,AV ANDRADES NEVES 1708,PELOTAS,RS
796,JOAO HENRIQUE VIVAN & CIA LTDA ME,"OLIMPIO JULIO TORTATTO, 171, SALA 02",XANXERE,SC
797,DROGARIA MAIS ECONOMICA LTDA,"INDEPENDENCIA, 465, 473",SAO LEOPOLDO,RS
798,DROGARIA 28 DE JANEIRO LTDA - ME,"RUA GUIAPO, 470 (SALA 02)",SARANDI,PR
799,FARMACIA ANDREA LTDA,AVENIDA JOAO MARQUES VIEIRA,FRAIBURGO,SC
800,FARMACIA VIDA E SAUDE LTDA - ME,RUA PADRE ALBERTO ROMUALD JACOBS 183,JARAGUA DO SUL,SC
801,LCV SOUZA & CIA LTDA,"CELSO GARCIA, Nº 3656",CAMBE,PR
802,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA CORONEL PEDRO DEMORO, 1665",FLORIANOPOLIS,SC
803,ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,"rua JOSE DE CAMPOS, 35",MOGI GUACU,SP
804,DROGARIA MAIS ECONOMICA S.A.,RUA OTTO NIEMEYER 2964 LOJA 101 E 102,PORTO ALEGRE,RS
805,CIA LATINO AMERICANA DE MEDICAMENTOS,Rua QUINZE DE NOVEMBRO 394 Terreo,PARANAGUA,PR
806,DROGARIA DLL LTDA - ME,RUA JOAO PIRES 89,ATIBAIA,SP
807,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AVENIDA CAVALHADA Nº 2955,PORTO ALEGRE,RS
808,MARTINS-GUERRA & THOMAZ LTDA,"AVENIDA CARLOS CHAGAS, 388",IPATINGA,MG
809,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA CORONEL CLAUDIO, 89",PONTA GROSSA,PR
810,CHIMIN & VARGAS LTDA - ME,"R. CONCEICAO, 331",PALMEIRA,PR
811,S A FERREIRA & FELIPE LTDA ME,"AV GOIANIA, 283",FORMOSA DO OESTE,PR
812,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"ADMAR GONZAGA, 500",FLORIANOPOLIS,SC
813,DROGARIA E FARMÁCIA CATARINENSE LTDA S/A,AVENIDA CENTENÁRIO Nº 2728,CRICIUMA,SC
814,DROGARIA ALFREDO FREIRE LTDA - ME,"AVENIDA JOAQUIM BORGES ASSUNCAO, 317",UBERABA,MG
815,N ROLDO E CIA LTDA,"AV TUPI, 2620",PATO BRANCO,PR
816,FARMACIA E DROGARIA NISSEI LTDA,"RUA CAMILO DE LELIS, Nº 488",PINHAIS,PR
817,CARNIELETTO & COLFERAI LTDA ME,"TRAV. DR. ARNALDO BUSATO, Nº 48",DOIS VIZINHOS,PR
818,J.L.S. MORAES & CIA LTDA - ME,"RUA VALDOMIRO RODRIGUES, 05",GUAIBA,RS
819,FARMACIA E DROGARIA NISSEI LTDA,"AVENIDA INGLATERRA, 738",CAMBE,PR
820,FARMACIA VIAN LTDA - ME,"RIO GRANDE DO SUL, 1115",PLANALTO,PR
821,DROGARIA UFASA LTDA ME,RUA NELSON EHLERS 151,ERECHIM,RS
822,ADEMIR LIMOES MONTEIRO,"R GETULIO VARGAS, Nº 28",ACUCENA,MG
823,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA GUSTAVO RICHARD, 532",LAGUNA,SC
824,ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,"praça RUI BARBOSA,",MOGI MIRIM,SP
825,DISTRIBUIDORA BIG BENN LTDA,"AVENIDA BARAO DE GURGUEIA, 3676",TERESINA,PI
826,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"RUA PINHEIRO MACHADO, Nº 2270",CAXIAS DO SUL,RS
827,FARMACIA BASSETTO LTDA,"GETULIO VARGAS, 06",CORONEL VIVIDA,PR
828,SOCIEDADE COMERCIAL SANTA HELENA LTDA,RUA  BELMIRO BRAGA Nº 520,BELO HORIZONTE,MG
829,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"AVENIDA IPIRANGA, Nº 6681 PREDIO 12B TERREO",PORTO ALEGRE,RS
830,DROGARIA SILVA LTDA,"AVENIDA BRASIL, Nº3241",MARINGA,PR
831,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA DUQUE DE CAXIAS, 679, SALA A",CRUZ ALTA,RS
832,FARMACIA MENGARDA LTDA,"RUA TOCANTINS, 780",ENTRE RIOS DO OESTE,PR
833,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"AVENIDA RIO BRANCO, 425 - LOJA 102 LOJA 103",CAXIAS DO SUL,RS
834,MARCOS SWAROWSKY,FLORES DA CUNHA 980,SINIMBU,RS
835,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"AV PARAGUASSU, 1945",CAPAO DA CANOA,RS
836,ALCEU KLEINKAUF E CIA LTDA,RUA SÃO PÉDRO ESQ MÁRIO BERTOLUCCI,GRAMADO,RS
837,LOFFI & CIA LTDA,"Rua RUI BARBOSA, 891, sala 01",TUBARAO,SC
838,DROGARIA PATRICIA LTDA,"AVENIDA SANTA CATARINA, Nº 101 - A",SAO CARLOS,SC
839,CHARLES STEINMETZ ME,"VOLUNTARIOS DA PATRIA, Nº 801 SALA 02",FELIZ,RS
840,N. M. CODALE & CIA LTDA,"AV SAO PAULO, 1306",TERRA RICA,PR
841,FARMACIA MONTE BLANCO LTDA ME,R EUROPA 1915,CASCAVEL,PR
842,FARMACIA E DROGARIA NISSEI S.A.,"R SALDANHA MARINHO, Nº 1835",CURITIBA,PR
843,FARMACIA E DROGARIA NISSEI LTDA,"RUA HUGO SIMAS, 128",PARANAGUA,PR
844,OSVALDO ROBERTO HOFMANN - ME,"RUA MARINGA, 375 - SALA 1,ESQ.RUA XV NOV",AMPERE,PR
845,FARMACIA E DROGARIA SOMENSI LTDA,"AV 10 DE MARCO, Nº 1220, SALA 02",VIDEIRA,SC
846,GARCIA E NEVES LTDA,EURIPEDES RIBEIRO,LAGOA FORMOSA,MG
847,DROGARIA E FARMÁCIA CATARINENSE S/A,RUA OLAVO BILAC,JOINVILLE,SC
848,REYNALDO S CIDADE SOCIED FARMAC LTDA,"RUA PRESIDENTE KENNEDY, 1568, CASA",CACAPAVA DO SUL,RS
849,REYNALDO S CIDADE SOCIED FARMAC LTDA,"RUA 15 DE NOVEMBRO, Nº514",CACAPAVA DO SUL,RS
850,CIA LATINO AMERICANA DE MEDICAMENTOS,RUA NEREU RAMOS 807 SALA 02,FRAIBURGO,SC
851,COMERCIO DE MEDICAMENTOS BRAIR LTDA,RUA JULIO DE CASTILHOS 165 LOJA 03,BENTO GONCALVES,RS
852,DROGARIA MAIS ECONOMICA S.A.,rua RIO GRANDE 251,RIO GRANDE,RS
853,DISTRIBUIDORA BIG BENN S.A,"AVENIDA FERNANDO GUILHON, 4550",MARITUBA,PA
854,DROGARIA ITU LTDA,GOMES DE FREITAS Nº 172,PORTO ALEGRE,RS
855,MARIFARMA PRODUTOS FARMACEUTICOS LTDA,"AVENIDA SANTOS DUMONT, 434",GUANAMBI,BA
856,SIDAW COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,"RUA 21 DE ABRIL ESQUINA COM A AV INDEPENDENCIA, 904",PALOTINA,PR
857,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA SETE DE SETEMBRO, 837",BAGE,RS
858,FARMACIA E DROGARIA NISSEI LTDA,"AVENIDA JOÃO GUALBERTO, Nº 1782",CURITIBA,PR
859,FARMACIA E DROGARIA ORSO LTDA - ME,AV DR JOSE LEAL FILHO 905,SUL BRASIL,SC
860,DISTRIBUIDORA BIG BENN LTDA,"AVENIDA AV ALMIRANTE BARROSO, 1758",BELEM,PA
861,FABIA R. EMMEL & CIA. LTDA. - EPP,"RUA PEDRO ALVARES CABRAL,144",SOBRADINHO,RS
862,DROGARIA MAIS ECONOMICA S.A.,RUA CACAPAVA 81,CANOAS,RS
863,DROGARIA E FARMÁCIA GEMBALLA LTDA,ALAMEDA ARISTILIANO RAMOS Nº 474,RIO DO SUL,SC
864,FARMACOLANDIA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,"PRAÇA BRASIL, 301",JAPURA,PR
865,DISTRIBUIDORA BIG BENN LTDA,"TRAV PADRE EUTIQUIO, 10782, PISO LJ 217 8",BELEM,PA
866,DISTRIBUIDORA BIG BENN LTDA,"AV CEL NAZEAZENO FERREIRA , S/N",BRAGANCA,PA
867,ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,"RUA coronel andre ulson junior, 138",AMERICANA,SP
868,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AV DOUTOR ASSIS ANTONIO MARIANI 783 LOJA 01,CAXIAS DO SUL,RS
869,FARMACIA SAO LUCAS LTDA,RUA SÃO PEDRO,CHAPECO,SC
870,FARMACIA CROZETTA LTDA - EPP,"RUA ARISTILIANO RAMOS, 351",ORLEANS,SC
871,FARMACIA RUBERT LTDA EPP,"DO COMERCIO, 113",CONCORDIA,SC
872,FARMACIA GEREMIAS LTDA,"RUA BRASIL, 92",VIDEIRA,SC
873,RIBEIRO DUARTE & CIA LTDA,"RUA GAL OSORIO, Nº 1159",CANGUCU,RS
874,COMERCIO DE MEDICAMENTOS BRAIR LTDA,PRAÇA JOAO COSTA 44,LAGES,SC
875,FARMACIA E DROGARIA DAS CATARATAS LTDA. - ME,AV CATARATAS 945,FOZ DO IGUACU,PR
876,DROGARIA MAIS ECONOMICA S.A.,rua PARAGUASSU 2043,CAPAO DA CANOA,RS
877,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,AVENIDA NILO PEÇANHA Nº 2146,PORTO ALEGRE,RS
878,FARMACIA E DROGARIA NISSEI LTDA,"RUA XV DE NOVEMBRO, 486",BLUMENAU,SC
879,MARILIA HERMES ABRAHÃO,RUA SÃO JOSÉ Nº227,PASSO DO SOBRADO,RS
880,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA PRESIDENTE VARGAS, 694 - A",RIO GRANDE,RS
881,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA FELIPE SCHMIDT, 30",MAFRA,SC
882,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,"JUCA BATISTA, Nº 679",PORTO ALEGRE,RS
883,FARMÁCIAS E DROGARIAS NISSEI LTDA,RUA CENTENÁRIO 2152,CAMPO LARGO,PR
884,FARMACIA E DROGARIA NISSEI LTDA,rua BENJAMIN CONSTANT 232,CURITIBA,PR
885,ANTONIO EDUARDO DE OLIVEIRA & CIA LTDA - ME,"R XV DE NOVEMBRO, 220",CONSELHEIRO MAIRINCK,PR
886,LOPES PENHA TEREZINHA,"PARANA, 888",JACAREZINHO,PR
887,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA COSTA Nº 40 LOJA 04,PORTO ALEGRE,RS
888,FARMACIA E DROGARIA NISSEI LTDA,"RUA ALBERICO FLORES BUENO, 863",CURITIBA,PR
889,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AV FLORES DA CUNHA 1543,CARAZINHO,RS
890,FARMÁCIAS E DROGARIAS NISSEI LTDA,PRAÇA RUI BARBOSA 433,CURITIBA,PR
891,DROGARIA BELA VISTA LTDA ME,"ALBINO SANTINI, 387, terreo",CAXIAS DO SUL,RS
892,FARMACIA WEILER LTDA - ME,"AVENIDA IRMAOS PEREIRA, 1204 - FARMACIA AVENIDA",CAMPO MOURAO,PR
893,CAPABLANCA DE SOUZA & CIA LTDA - ME,R MARECHAL DEODORO,UNIAO DA VITORIA,PR
894,DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,AV MOSTARDEIRO 3213 loja 1 e 2,CIDREIRA,RS
895,DROGARIA PROGRESSO LTDA,"RAMIRO BARCELOS, Nº 1850",MONTENEGRO,RS
896,FARMACIA BACCIN LTDA. ME,RDV BR 282 799 KM 0,LAGES,SC
897,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AV PRESIDENTE VARGAS, 3495, LOJA 01",PASSO FUNDO,RS
898,FARMACIA E DROGARIA NISSEI LTDA,"RUA DR. JORGE XAVIER DA SILVA, 492",CASTRO,PR
899,FARMACIA LUBIAN LTDA EPP,"TUIUTI, 1440",MARINGA,PR
900,CIA LATINO AMERICANA DE MEDICAMENTOS,"AVENIDA BRASIL, 4967 - SALA A",CASCAVEL,PR
901,DROGARIA E FARMÁCIA CATARINENSE S/A,RUA DEP.ANTONIO EDU VIEIRA Nº 948,FLORIANOPOLIS,SC
902,VOLNEI GONCALVES RIBEIRO ME,"INACIO MOTTA, Nº 488",PELOTAS,RS
903,S CANDIDO,"R JOAQUIM SILVEIRA, 197",MAJOR GERCINO,SC
904,DROGARIA E FARMACIA FARMADRE LTDA - ME,"RUA NOSSA SENHORA APARECIDA, 331",PALHOCA,SC
905,DROGARIA MAIS ECONOMICA LTDA,"RUA ASSIS BRASIL, 6654",PORTO ALEGRE,RS
906,ROMERO & LEHNEN LTDA - ME,"AVENIDA FLORES DA CUNHA, 1615",CARAZINHO,RS
907,ROMANCINI & ROMANCINI LTDA,RUA JACARANDA Nº 498,QUEDAS DO IGUACU,PR
908,ELPIDIO JOSE KAUFMANN ME,"AV. PRESIDENTE CASTELO BRANCO, 335, SALA 1",CRISSIUMAL,RS
909,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA COMERCIO,  1197",IJUI,RS
910,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA LAURO LINHARES, 2055, SALA 1 E 2",FLORIANOPOLIS,SC
911,CIA LATINO AMERICANA DE MEDICAMENTOS,"AVENIDA BRASIL, 2368, SL 03",BALNEARIO CAMBORIU,SC
912,CIA LATINO AMERICANA DE MEDICAMENTOS,"AVENIDA BRASIL OESTE, 362 - Loja Térrea",PASSO FUNDO,RS
913,FARMACIA E DROGARIA NISSEI LTDA,AV BRASILIA 1597,MEDIANEIRA,PR
914,DISTRIBUIDORA BIG BENN LTDA,"PEDRO MIRANDA, Nº 712",BELEM,PA
915,COMERCIO DE MEDICAMENTOS BRAIR LTDA,AV SAO PEDRO 549 LOJA 1,PORTO ALEGRE,RS
916,C. BORTOLUZZI & CIA LTDA,"RUA XV DE NOVEMBRO, Nº 2280",LARANJEIRAS DO SUL,PR
917,FARMACIA LEANDRO LTDA EPP,"PRAÇA GETULIO VARGAS, Nº 07",RIO DO SUL,SC
918,JUDIVAN F LIRA ME,"R JOCA FARIAS, 887",BOA VISTA,RR
919,DISTRIBUIDORA BIG BENN LTDA,"31 DE MARCO , 16",TUCURUI,PA
920,FARMACIA MOTTIN LTDA,"PR SAO PAULO, 20, FP",MONTENEGRO,RS
921,ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,"RUA OSWALDO OSCAR BARTHELSON, 1097",CAMPINAS,SP
922,FARMACIA E DROGARIA NISSEI LTDA,RUA HERCILIO LUZ 435,ITAJAI,SC
923,REJANE MARIA PEIXOTO SPECHT,RUA CEL.  ALFREDO BORN Nº510,SAO LOURENCO DO SUL,RS
924,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA ERICO VERISSIMO, 17 - SALA 11 E 14",ELDORADO DO SUL,RS
925,CIA LATINO AMERICANA DE MEDICAMENTOS,AVENIDA GETULIO VARGAS 268 LOJA 132,JARAGUA DO SUL,SC
926,CIA LATINO AMERICANA DE MEDICAMENTOS,"R. XV DE NOVEMBRO, Nº 570 - Loja 01",CURITIBA,PR
927,DROGARIA BIDO LTDA - ME,"RUA BENJAMIN CONSTANT, 524",VILA MARIA,RS
928,FARMAPASSOS MEDICAMENTOS LTDA,"AVENIDA STA CATARINA, 129",BARRA VELHA,SC
929,ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,R XV DE NOVEMBRO 889,PEDREIRA,SP
930,CIA LATINO AMERICANA DE MEDICAMENTOS,Rua Independência 651,SAO LEOPOLDO,RS
931,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA PINHEIRO MACHADO, 251, LOJA A",FARROUPILHA,RS
932,COMERCIO DE MEDICAMENTOS BRAIR LTDA,RUA ASPIRANTE JENNER 1133,PASSO FUNDO,RS
933,DROGARIA LAJEADENSE LTDA,RS 130 KM 38 136 LOJA 01,LAJEADO,RS
934,COMERCIO DE MEDICAMENTOS BRAIR LTDA,RUA PINHEIRO MACHADO 1934,CAXIAS DO SUL,RS
935,FARMACIA E DROGARIA NISSEI LTDA,"RUA FARIA SOBRINHO, 411",PARANAGUA,PR
936,DROGARIA TANGARA RIO PRETO LTDA ME,"AV. PRESIDENTE GETULIO VARGAS, 737",SAO JOSE DO RIO PRETO,SP
937,DISTRIBUIDORA BIG BENN LTDA,"RUA 203 LD, 01 - UNIDADE 203 - LOJA 01",SAO LUIS,MA
938,CIA LATINO AMERICANA DE MEDICAMENTOS,"AV. CORONEL MARCOS KONDER, 228, SALA 01, 02, 03 E 04",ITAJAI,SC
939,DROGARIA MAIS ECONOMICA LTDA,"ERNESTO ALVES, 328",IJUI,RS
940,ASSIS FERNANDES ME,"BEIRA RIO, 348",PASSO DE TORRES,SC
941,DROGARIA E FARMACIA CATARINENSE S/A,"RUA ALBANO SCHMIDT, Nº 1415",JOINVILLE,SC
942,DROGARIA ATALANTA LTDA ME,"AVENIDA XV DE NOVEMBRO, 713",ATALANTA,SC
943,FLAVIO MARCELO DA SILVA PERES,"RUATRES, 530",PELOTAS,RS
944,VANIA MARIA FERREIRA LEITE ME,"RUA JOSE FERREIRA DE SOUZA, S/N",MILHA,CE
945,DISTRIBUIDORA BIG BENN LTDA,"AV PRESIDENTE VARGAS, 356",BELEM,PA
946,FARMACIA ANA TERRA LTDA,"AV ANGELO CALAFIORI, Nº501",SAO SEBASTIAO DO PARAISO,MG
947,FARMACIA E DROGARIA NISSEI S.A.,"RUA ALMIRANTE ALEXANDRINO, 1819",SAO JOSE DOS PINHAIS,PR
948,COMERCIO DEMEDICAMENTOS BRAIR LTDA,RUA DO COMERCIO  390,IJUI,RS
949,DROGARIA BELLA DONNA LTDA,RUA PEREIRA NETO Nº 823,PORTO ALEGRE,RS
950,FARMACIA NOVA LTDA EPP,"HENRIQUE CONRAD, 491",BLUMENAU,SC
951,PELIZZARI & PELIZZARI LTDA - ME,AV VILA RICA 178 prox hospital,PEABIRU,PR
952,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA QUINZE DE NOVEMBRO, 1000, LOJA TERREA",BLUMENAU,SC
953,DROGARIA MAIS ECONOMICA S.A.,rua BOM PASTOR 215,CAXIAS DO SUL,RS
954,MARILETE B VALERIO - ME,"AVENIDA 3 EDILIO LUIZ CHESTIES, 1483",NOVA ALVORADA,RS
955,CIA LATINO AMERICANA DE MEDICAMENTOS,"Praça TIRADENTES, 260",CURITIBA,PR
956,BEATRIZ GEIER DOS SANTOS ME,"AV IGUACU, Nº 449",CAPITAO LEONIDAS MARQUES,PR
957,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,RUA DOMINGOS DE ALMEIDA Nº 1946,URUGUAIANA,RS
958,FARMACIA E DROGARIA NISSEI LTDA,AVENIDA SETE SETEMBRO 4568,CURITIBA,PR
959,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"RUA BARAO DO UPACARAY, 1297, LOJA 01",DOM PEDRITO,RS
960,CIA LATINO AMERICANA DE MEDICAMENTOS,"RUA VOLUNTARIOS DA PATRIA, 26",PORTO ALEGRE,RS
961,FARMACIA POUSO REDONDO LTDA ME,RUA CASTELO BRANCO 8,POUSO REDONDO,SC
962,COMERCIO DE MEDICAMENTOS BRAIR LTDA,"AVENIDA PRESIDENTE GETULIO VARGAS, 1746, LOJA 01",ALVORADA,RS
963,DISTRIBUIDORA BIG BENN LTDA,"AVENIDA AV JOAO PAULO, 304",BELEM,PA
964,ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,"AVENIDA EXPEDITO QUARTIERI, 198",MOGI MIRIM,SP
965,BECLA & CIA LTDA,"MANOEL RIBAS, 322, SALA",GUARANIACU,PR
966,DISTRIBUIDORA BIG BENN LTDA,"AV JULIO CESAR, 03",BELEM,PA
967,DROGARIA E FARMÁCIA DROGABEL LTDA,RUA SALGADO FILHO Nº 259 SALA 02,JOACABA,SC
968,FARMACIA MARILIA DE BARBOSA FERRAZ LTDA - ME,"R MARECHAL DEODORO, 891",BARBOSA FERRAZ,PR
969,GUILHERME YOSHITERU IMOTO& CIA LTDA - EPP,"RUA JOSE SEBASTIÃO LOPES, 508",SAO SEBASTIAO DA AMOREIRA,PR
970,C. H. PEREIRA & CIA. LTDA. - ME,"CENTRAL, Nº 464",PITANGUEIRAS,PR
971,DROGARIA MAIS ECONOMICA S.A.,"AVENIDA VENANCIO AIRES, 1078",SAO MARCOS,RS
972,DROGARIA LEONARDO LTDA - EPP,"RUA CHAPECO, 56",LAURO MULLER,SC
