gid,co_cep,uf,cidade,no_fantasia,no_bairro,nu_endereco,no_logradouro,nu_telefone,ano_upa_func,mes_upa_func,fonte_recurso,porte,latitude,longitude
7561792,,PB,João Pessoa,UNIDADE DE PRONTO ATENDIMENTO CELIO PIRES DE SA,VALENTINA,1,RUA ESTEVAM LOPES GALVAO,3237-7880,2015,11,MS,2,-7.1982622,-34.8456193
7434308,60055-000,CE,Fortaleza,UNIDADE PRONTO ATENDIMENTO CRISTO REDENTOR,JACARECANGA,S/N,AV PRESIDENTE CASTELO BRANCO,31952768,2015,11,MS,3,-3.7140579,-38.5476435
7304188,,GO,Goiânia,UPA DR JOAO BATISTA DE SOUSA JUNIOR,RESIDENCIAL ITAIPU,S/N,AVENIDA RIO VERMELHO,062 - 32884522,2015,11,MS,3,-16.784316,-49.3632339
6929583,,MA,Imperatriz,UPA IMPERATRIZ,NOV IMPERATRIZ,968,AVENIDA BERNARDO SAYAO,,2015,11,MS,2,-5.5215487,-47.4900414
7294700,,PR,Toledo,ALMOXARIFADO CENTRAL,CENTRO,S/N,RUA PIRATINI,,2015,11,MS,2,-24.7353361,-53.7344
6507409,22451-265,RJ,Rio de Janeiro,SMS UPA 24H ROCINHA AP 21,ROCINHA,522,ESTRADA DA GAVEA,33227039,2015,11,MS,2,-22.9906905,-43.2523743
7417659,35164-500,MG,Ipatinga,UPA JOSE ISABEL DE NASCIMENTO,CANAA,820,AVENIDA GERASA,,2015,11,MS,3,-19.4536019,-42.5526731
3708608,12247-190,SP,São José dos Campos,UPA EUGENIO DE MELO,EUGENIO DE MELO,101,RUA CORONEL EUGENIO AUGUSTO DE MELO,1239052152,2015,11,MS,1,-23.1408265,-45.7818141
5625416,,SP,Lençóis Paulista,UNIDADE DE PRONTO ATENDIMENTO DE LENCOIS PAULISTA,CENTRO,600,RUA SETE DE SETEMBRO,(14) 3264 8668,2015,11,MS,1,-22.6001427,-48.795823
6947077,,PA,Capanema,UNIDADE DE PRONTO ATENDIMENTO JOSIEL RODRIGUES MARTINS,SAO CRISTOVAO,S/N,RUA LAUDELINO VALENTE,(91)34622155,2015,11,MS,2,-1.2056483,-47.178192
6851304,,MA,São Luís,UPA VINHAIS,VINHAIS,S/N,AVENIDA 02,(98) 2367535,2015,11,MS,3,-2.5115056,-44.2525545
7409354,15775-000,SP,Santa Fé do Sul,UPA DR JOSE ROBERTO LOPES FERRAZ,CENTRO,800,RUA UM,17- 36311015,2015,11,MS,1,-20.7941692,-49.3955687
7372116,57160-000,AL,Marechal Deodoro,UPA 24 HORAS IRMA DULCE MARECHAL DEODORO AL,FRANCES,S/N,RUA CORIMA,,2015,11,MS,1,-9.710143,-35.897056
7155832,88900-000,SC,Araranguá,UNIDADE DE PRONTO ATENDIMENTO 24 HORAS ARARANGUA,CIDADE ALTA,344,AVENIDA 15 DE NOVEMBRO,48-39031922,2015,11,MS,1,-28.9452308,-49.4915975
6909663,25655-006,RJ,Petrópolis,UPA CENTRO UNIDADE DE PRONTO ATENDIMENTO,CENTRO,600,RUA WASHINGTON LUIZ,2243-6706,2015,11,MS,3,-22.5166104,-43.1838174
7040792,15400000,SP,Olímpia,UNIDADE DE PRONTO ATENDIMENTO DE OLIMPIA,CENTRO,288,AVENIDA WALDEMAR LOPES FERRAZ,,2015,11,MS,1,-23.3356872,-46.7253394
2706245,,SP,Franco da Rocha,UNIDADE DE PRONTO ATENDIMENTO DE FRANCO DA ROCHA UPA II,CENTRO,S/N,NELSON RODRIGUES,(11)4819-6011,2015,11,MS,1,-20.7397682,-48.908687
6926177,23535-808,RJ,Rio de Janeiro,SMS UPA 24 H SEPETIBA AP 53,SEPETIBA,S/N,RUA RAFAEL FERREIRA,,2015,11,MS,2,-22.9674264,-43.7056394
10057,,MS,Campo Grande,UPA APARECIDA GONCALVES SARAIVA UNIVERSITARIO,UNIVERSITARIO,S/N,AVENIDA GUAICURUS ESQ COM AV GURY MARQUES,67-33045601/33045606,2015,11,MS,2,-20.5240788,-54.5820828
7535643,83824-141,PR,Fazenda Rio Grande,UPA UNIDADE PRONTO ATENDIMENTO DE FAZENDA RIO GRANDE,SANTA TEREZINHA,515,RUA RIO TEJO,,2015,11,MS,2,-25.6496489,-49.333946
7546777,,MS,Dourados,UNIDADE DE PRONTO ATENDIMENTO DR AFRANIO MARTINS,TERRA ROCHA,3675,RUA FREI ANTONIO,67 84685029,2015,11,MS,3,-22.248924,-54.7863646
7260784,66821-000,PA,Belém,UPA DAICO,PARQUE GUAJARA,0,RODOVIA AUGUSTO MONTENEGRO KM 11,(091) 3247-8334,2015,11,MS,3,-1.3323677,-48.4499294
7404700,,RJ,São Pedro da Aldeia,SES RJ UPA 24 H SAO PEDRO DA ALDEIA,SAO PEDRO DA ALEDIA,S/N,RODOVIA AMARAL PEIXOTO,,2015,11,MS,2,-22.827147,-42.11995
2389061,,RN,Mossoró,UPA TARCISIO DE VASCONCELOS MAIA,SAO MANOEL,S/N,RUA MARIAZINHA MENDES,84 3315-4745,2015,11,MS,1,-5.1841285,-37.3477805
2485958,29176-206,ES,Serra,UPA 24 HORAS SERRA,CENTRO SERRA,S/N,AVENIDA JONES DOS SANTOS NEVES,(27)3291.8837,2015,11,MS,3,-20.1291481,-40.3068166
7054254,,RS,Canoas,UPA 24 HORAS RIO BRANCO,RIO BRANCO,500,CAIRU,(51)3415-4500,2015,11,MS,2,-29.9444481,-51.1833553
22683,30626-002,MG,Belo Horizonte,UNIDADE DE PRONTO ATENDIMENTO BARREIRO,DIAMANTE,20,AV AURELIO LOPES,(31)32775821,2015,11,MS,3,-19.9957984,-44.0205138
6849636,,PR,São José dos Pinhais,UPA AFONSO PENA,AFONSO PENA,460,RUA FRANCISCA DE SOUZA CORTES,41 3385 - 3502,2015,11,MS,3,-25.498158,-49.16885
7648227,,RS,Alegrete,UPA UNIDADE DE PRONTO ATENDIMENTO ALEGRETE,CANUDOS,S/N,MESTRE CACAIO,,2015,11,MS,1,-29.7745415,-55.7937388
6629954,24744-560,RJ,São Gonçalo,SES RJ UPA 24H SAO GONCALO I,COLUMBANDE,S/N,RODOVIA AMARAL PEIXOTO,27017397,2015,11,MS,3,-22.8741991,-43.0043245
7126816,45980-000,BA,Prado,UPA 24 HORAS PRADO,PORTAL DO PRADO,S/N,RODOVIA PRADO ITAMARAJU QUADRA 17 LOTE 7 A 12,,2015,11,MS,1,-17.3340784,-39.2250585
7530005,,PA,Santarém,UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS,SAO JOSE OPERARIO,S/N,AV CURUA UNA,,2015,11,MS,3,-2.4486819,-54.7015981
7038895,13501-130,SP,Rio Claro,UNIDADE DE PRONTO ATENDIMENTO UPA 24 HS RIO CLARO,ESTADIO,1313,AV 29,(19) 3524-9577,2015,11,MS,2,-22.4233984,-47.5603433
2630036,,ES,Guarapari,SECRETARIA MUNICIPAL DE SAUDE,MUQUICABA,S/N,RUA ADAMASTOR ANTONIO DA SILVA,(27)32615686,2015,11,MS,2,-20.6601876,-40.5012663
7266650,27971-430,RJ,Macaé,UPA UNIDADE DE PRONTO ATENDIMENTO LAGOMAR,LAGOMAR,S/N,AVENIDA JOSE FERREIRA MACHADO,22 27961279,2015,11,MS,2,-22.301358,-41.7058833
2639467,,PR,Curitiba,UPA FAZENDINHA,FAZENDINHA,S/N,RUA CARLOS KLEMTZ,3329-4324,2015,11,MS,3,-25.4765441,-49.3203244
6038883,21735-320,RJ,Rio de Janeiro,SES RJ UPA 24H REALENGO,REALENGO,S/N,RUA MARECHAL JOAQUIM INACIO,24019382,2015,11,MS,3,-22.8742659,-43.4316858
6488315,50980-000,PE,Recife,UPA CAXANGA,VARZEA,S/N,AV CAXANGA,81 31844355,2015,11,MS,3,-8.0380409,-34.943629
2054728,,SP,Piracicaba,UPA VILA REZENDE DR ALFREDO J DE C NEVES PIRACICABA,VILA REZENDE,350,AVENIDA CONCEICAO,(19) 3421-1439,2015,11,MS,1,-22.7053706,-47.6569129
7389272,,CE,Ubajara,UNIDADE DE PRONTO ATENDIMENTO DE SAO BENEDITO,CORRENTE,S/N,AVENIDA TABAJARA,,2015,11,MS,1,-3.8548582,-40.9208016
6855881,,PE,Caruaru,UPA VASSOURAL,VASSOURAL,00,RUA LUIZ GONZAGA,,2015,11,MS,2,-8.3023343,-35.9691537
2557096,46400-000,BA,Caetité,UNIDADE DE PRONTO ATENDIMENTO DE CAETITE,RANCHO ALEGRE,S/N,RODOVIA CAETITE GUANAMBI,(77)34548061,2015,11,MS,3,-14.0648657,-42.4858867
2755289,,TO,Palmas,UNIDADE DE PRONTO ATENDIMENTO NORTE,PLANO DIRETOR NORTE,S/N,203 NORTE ALAMEDA LO 06 APM 02,(63) 32185110,2015,11,MS,2,-10.1701661,-48.3339796
6481876,51200-000,PE,Recife,UPA IMBIRIBEIRA,IMBIRIBEIRA,4223,AV MASCARENHAS DE MORAES,81 31844328,2015,11,MS,3,-8.0832301,-34.9068029
7114893,,RS,Porto Alegre,UNIDADE DE PRONTO ATENDIMENTO ZONA NORTE MOACYR SCLIAR,SAO SEBASTIAO,001,JERONYMO ZELMANOVITZ,51 33681626,2015,11,MS,3,-30.0102505,-51.1461606
2126133,32381-778,MG,Betim,UAI TERESOPOLIS,JARDIM TERESOPOLIS,154,AVENIDA BELO HORIZONTE,(31)3597.8273/8270,2015,11,MS,3,-19.9486338,-44.1229631
7522738,,SP,Cotia,UPA ATALAIA DRA RITA DE CASSIA SORIO,ATALAIA,623,ESTRADA DO MORRO GRANDE,1146164055,2015,11,MS,2,-23.6103338,-46.9488022
17396,,PR,Curitiba,UPA BOA VISTA,BOA VISTA,3654,AVN PARANA,041- 32511010,2015,11,MS,3,-25.3855993,-49.2330314
6035809,26110-260,RJ,Belford Roxo,UPA 24H BOM PASTOR BELFORD ROXO,BOM PASTOR,S/N,ESTR DE BELFORD ROXO,25617578,2015,11,MS,3,-22.7363461,-43.3763859
6754325,,PB,Santa Rita,UPA UNIDADE DE PRONTO ATENDIMENTO,TIBIRI II,S/N,RUA PITIMBU,83 32175535,2015,11,MS,1,-7.135868,-34.9662353
7111924,71732-010,DF,Brasília,UPA UNIDADE DE PRONTO ATENDIMENTO NUCLEO BANDEIRANTE,NUCLEO BANDEIRANTE,180,DF 075 KM 180 PLACA DAS MERCEDES,33866619,2015,11,MS,3,-15.8773073,-47.9940334
6822576,17063-060,SP,Bauru,UPA BELA VISTA,VILA LEMOS,4,RUA MARCAL DE ARRUDA CAMPOS,3109-2460,2015,11,MS,3,-22.3096209,-49.0863018
6037550,21910-296,RJ,Rio de Janeiro,SES UPA 24H ILHA DO GOVERNADOR AP 31,COCOTA ILHA DO GOVER,S/N,PARQUE POETA MANUEL BANDEIRA,23346346,2015,11,MS,3,-22.9068467,-43.1728965
7569793,,CE,Itapipoca,UPA PORTE II,FAZENDINHA,S/N,AV ESAU ALVES,,2015,11,MS,2,-3.4931919,-39.5899541
6008054,32041-440,MG,Contagem,UNIDADE DE PRONTO ATENDIMENTO UNIDADE XVI UPA XVI,CENTRO,47,JOAQUIM CAMARGO,33987036,2015,11,MS,2,-19.9109636,-44.0819032
2639556,,PR,Curitiba,UPA SITIO CERCADO,SITIO CERCADO,158,RUA LEVY BUQUERA,041-3378-6405,2015,11,MS,3,-25.5287499,-49.2686365
7363559,96413-010,RS,Bagé,UPA PADRE HONORINO JOAO MURARO,GETULIO VARGAS,S/N,RUA FELIX CONTREIRA RODRIGUES,53 32475733,2015,11,MS,2,-31.3222533,-54.0882995
7586361,,BA,Feira de Santana,UPA DA MANGABEIRA JAIRO DE JESUS SANTOS,MANGABEIRA,12,LOTEAMENTO JARDIM DOS NAMORADOS,,2015,11,MS,1,-12.2177038,-38.9406247
6220584,22260-000,RJ,Rio de Janeiro,SES RJ UPA 24H BOTAFOGO,BOTAFOGO,S/N,RUA SAO CLEMENTE,23344011,2015,11,MS,3,-22.9491015,-43.1825107
7429398,60055-090,CE,Fortaleza,UNIDADE PRONTO ATENDIMENTO JANGURUSSU,JANGURUSSU,S/N,AV CONTORNO SUL,32952768,2015,11,MS,3,-3.8368766,-38.5186018
7097794,57200-000,AL,Penedo,UPA II ANTONIO DE JESUS,SANTA LUZIA,S/N,RUA EUTIQUIO LOPES,,2015,11,MS,2,-10.281416,-36.5611798
4047184,33051-500,SP,Araraquara,UPA DR ANTONIO ALONSO MARTINEZ VILA XAVIER,VILA XAVIER,660,RUA JOSE DO PATROCINIO,,2015,11,MS,1,-21.7858043,-48.1598107
7047517,09132-150,SP,Santo André,UPA JARDIM SANTO ANDRE,JARDIM SANTO ANDRE,2011,RUA DOS DOMINICANOS,4451-2689,2015,11,MS,3,-23.7020408,-46.498575
7070640,87035-260,PR,Maringá,UNIDADE DE PRONTO ATENDIMENTO UPA ZONA NORTE,JARDIM ALVORADA,S/N,AV SOPHIA RASGULAEFF X R HIPOCRATESX R ANA NERI,,2015,11,MS,2,-23.4209995,-51.9330558
6631169,20730-460,RJ,Rio de Janeiro,SMS UPA 24 H ENGENHO DE DENTRO AP 32,ENGENHO DE DENTRO,S/N,RUA BERNARDO,,2015,11,MS,3,-22.9026237,-43.3050417
7381158,,CE,Horizonte,UPA DE HORIZONTE,CENTRO,1285,RUA CIRO BILHAR,8533366043,2015,11,MS,2,-4.1067302,-38.4957978
6703437,,PE,Recife,UPA NOVA DESCOBERTA,BREJO DA GUABIRABA,S/N,AVENIDA VEREADOR OTACILIO DE AZEVEDO,,2015,11,MS,3,-7.9901998,-34.933777
7057334,47640-000,BA,Santa Maria da Vitória,UPA 24 HORAS SANTA MARIA DA VITORIA,AABB,S/N,RUA JEREMIAS RODRIGUES DA SILVA,77 3483 4884,2015,11,MS,1,-13.385508,-44.202014
7041152,,PB,Pombal,UPA UNIDADE DE PRONTO ATENDIMENTO DE POMBAL,PEREIROS,S/N,RUA JAIRO VIEIRA FEITOSA,,2015,11,MS,1,-6.7807846,-37.8061146
7104804,36090-000,MG,Juiz de Fora,UPA NORTE,NOVA ERA,6145,AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK,(32)3222-0430,2015,11,MS,3,-21.6939117,-43.4314947
3331326,,TO,Gurupi,UPA DR MARCIA MUCKY,JARDIM SAO LUCAS,99,AVENIDA FERNANDO DE NORONHA,(63)3315-0027,2015,11,MS,2,-11.7188959,-49.0796802
6919456,09390-140,SP,Mauá,UPA ZAIRA,JARDIM ZAIRA,1952,AVENIDA WASHINGTON LUIZ,(11)4519-4533,2015,11,MS,2,-23.6552006,-46.4482602
7099371,78553-252,MT,Sinop,UPA UNIDADE DE PRONTO ATENDIMENTO DE SINOP,JARDIM DAS ACACIAS,S/N,AVENIDA ANDRE MAGGI,,2015,11,MS,2,-11.8608456,-55.5095451
2420147,,SE,Poço Redondo,UNIDADE DE PRONTO ATENDIMENTO ZULMIRA SOARES,LIDIA SOUZA CRUZ,S/N,RUA ALTO DO GADO MANSO,07933371415,2015,11,MS,1,-9.8065819,-37.683604
7021461,09061-260,SP,Santo André,UPA SACADURA CABRAL,SACADURA CABRAL,354,RUA LAURO MULLER,44211224,2015,11,MS,1,-23.6742228,-46.5436003
7038747,14090-270,SP,Ribeirão Preto,UPA DR LUIS ATILIO LOSI VIANA RIBEIRAO PRETO,JARDIM PAULISTANO,353,AVENIDA TREZE DE MAIO,(16)39722868,2015,11,MS,3,-21.1762859,-47.7914986
7471645,,AL,Coruripe,UNIDADE DE PRONTO ATENDIMENTO DE CORURIPE,ZEQUINHA AZEVEDO,152,RUA EDGAR CASSIANO DOS SANTOS,,2015,11,MS,3,-10.1249995,-36.1761498
6997600,14300000,SP,Batatais,UPA 24H BATATAIS JOSE ANTONIO DA SILVA NETO,JOAQUIM MARINHEIRO,525,AV MOACIR DIAS DE MORAIS,(16) 37619499,2015,11,MS,2,-20.8933441,-47.5925952
2064731,14806-150,SP,Araraquara,UPA CENTRAL AMELIA BERNARDINI CUTRALE,VILA FERROVIARIA,S/N,AVENIDA MARIA ANTONIA CAMARGO DE OLIVEIRA,016 33011010,2015,11,MS,2,-21.7862848,-48.1721785
7533934,,MG,Igarapé,UPA PREFEITO OSVALDO CANDIDO DE QUEIROZ,MARECHAL RONDON,690,RUA SANTOS DUMONT,31 - 3534-1648,2015,11,MS,1,-20.0656682,-44.3144895
7267096,72874-218,GO,Valparaíso de Goiás,UPA D ZILDA ARNS,PARQUE MARAJO,05,PRACA KATIA ENTREQUADRAS 25 26 PARQUE MARAJO,,2015,11,MS,2,-16.1154642,-47.9750252
7070713,11714-630,SP,Praia Grande,UNIDADE DE PRONTO ATENDIMENTO DOUTOR CHARLES ANTUNES BECHARA,SAMAMBAIA,4000,AV MARGINAL,,2015,11,MS,3,-24.0392367,-46.5213434
2164817,38022-000,MG,Uberaba,UPA UNIDADE DE PRONTO ATENDIMENTO SAO BENEDITO,SAO BENEDITO,1030,R MAJOR EUSTAQUIO,(34)33332900,2015,11,MS,3,-19.7551865,-47.9420741
7263813,78053-739,MT,Cuiabá,UNIDADE DE PRONTO ATENDIMENTO MORADA DO OURO,MORADA DO OURO,S/N,RUA 17,3645 - 5700,2015,11,MS,3,-15.581739,-56.0661119
7429991,06765-290,SP,Taboão da Serra,UPA DR AKIRA TADA,JARDIM HENRIQUETA,2400,ESTRADA SAO FRANCISCO,47873020 / 47018153,2015,11,MS,3,-23.6165124,-46.7773999
6870805,,MA,Coroatá,UPA COROATA,CENTRO,S/N,AVENIDA DA BANDEIRA,,2015,11,MS,2,-4.1283394,-44.130317
6712169,83025-010,PR,São José dos Pinhais,UPA RUI BARBOSA,COLONIA RIO GRANDE,10471,AVENIDA RUI BARBOSA,(41) 3398 - 2710,2015,11,MS,1,-25.5489619,-49.2070183
6598722,,RJ,Cabo Frio,UNIDADE DE PRONTO ATENDIMENTO UPA,PARQUE BURLE,10,AV VITOR ROCHA,2226489679,2015,11,MS,3,-22.8801139,-42.0471369
4774,41200-020,BA,Salvador,UPA 24H PROF ADROALDO ALBERGARIA,PERIPERI,S/N,RUA DAS PEDRINHAS,(71) 3611-5721/5719,2015,11,MS,3,-12.8568454,-38.4566787
7550049,,SP,São José dos Campos,UPA PUTIM,PUTIM,1035,AVENIDA JOAO RODOLFO CASTELLI,012 39291019,2015,11,MS,3,-23.245325,-45.8319966
7053835,,SP,São Bernardo do Campo,UPA ALVES DIAS ASSUNCAO,ALVES DIAS,4220,AV HUMBERTO DE ALENCAR CASTELO BRANCO,4104-4018,2015,11,MS,2,-23.7241531,-46.5772506
6270093,15047050,SP,São José do Rio Preto,UPA REGIAO NORTE,JARDIM ANTUNES,130,R MANOEL MORENO ESQ R JOSEPHA VOLTARELLI SANFELICE,17-32375315,2015,11,MS,3,-20.7703051,-49.4034755
7501366,,CE,Juazeiro do Norte,UNIDADE DE PRONTO ATENDIMENTO UPA LIMOEIRO,LIMOEIRO,S/N,CAPITAO DOMINGOS,8835124696,2015,11,MS,3,-7.2231318,-39.3057396
5323436,,PR,Curitiba,UPA CAJURU,CAJURU,S/N,RUA ENGENHEIRO BENEDITO MARIO DA SILVA,041-32264069,2015,11,MS,3,-25.4695338,-49.2057901
6851312,,MA,São Luís,UPA CIDADE OPERARIA,CIDADE OPERARIA,S/N,AV PRICIPAL AV OESTE,(098)32474558,2015,11,MS,3,-2.5960968,-44.1973319
6632858,,MG,Ribeirão das Neves,UPA ACRIZIO MENEZES,CEREJEIRAS,600,AVENIDA DENISE CRISTINA DA ROCHA,3136381833,2015,11,MS,3,-19.8066815,-44.0299889
7106548,34505-010,MG,Sabará,SABARA UPA III 24 HORAS PADRE LAZARO PEREIRA CRISPIM,NACOES UNIDAS,7000,RODOVIA MGT 262 KM 07,31 35081962,2015,11,MS,3,-19.8777045,-43.8697101
7073194,12940-000,SP,Atibaia,UPA PORTE II 24HS JD CEREJEIRAS ATIBAIA,JD CEREJEIRAS,50,PRACA ORIENTAL,11 4412-2969,2015,11,MS,2,-23.1175492,-46.5567066
7096518,85550-000,PR,Coronel Vivida,UPA I UNIDADE DE PRONTO ATENDIMENTO DE CORONEL VIVIDA,CENTRO,154,RUA ROMARIO MARTINS,,2015,11,MS,1,-25.979821,-52.5678016
7449135,,RJ,Magé,SES RJ UPA 24H MAGE,PIABETA,S/N,RUA A,,2015,11,MS,3,-22.6303549,-43.1783933
6635903,,RJ,Macaé,UPA UNIDADE DE PRONTO ATENDIMENTO BARRA,BARRA DE MACAE,S/N,AV AMARAL PEIXOTO,22 27623260,2015,11,MS,3,-22.3738367,-41.7846236
6033075,25050-100,RJ,Duque de Caxias,SES RJ UPA 24H SARAPUI,VILA SARAPUI,S/N,RUA REPUBLICA DO PARAGUAI,27719717,2015,11,MS,2,-22.7495947,-43.2995325
7023049,87112610,PR,Sarandi,UNIDADE DE PRONTO ATENDIMENTO,JD CASTELO,286,JOSE MUNHOZ,(44) 3042-0506,2015,11,MS,1,-23.44573,-51.8733565
7135173,11750-000,SP,Peruíbe,UNIDADE DE PRONTO ATENDIMENTO DE PERUIBE UPA24H,PARQUE DAVILLE,S/N,AVENIDADE TEREZINHA RODRIGUES KALLIL,13 34541589,2015,11,MS,1,-24.3151709,-47.0031356
9296,12212-500,SP,São José dos Campos,UPA 24 HORAS ALTO DA PONTE,ALTO DA PONTE,70,RUA ALZIRO LEBRAO,12 35193700,2015,11,MS,2,-23.1537268,-45.901446
6855180,47850-000,BA,Luís Eduardo Magalhães,UNIDADE DE PRONTO ATENDIMENTO UPA,MIMOSO DO OESTE,165,RUA ARNALDO HORACIO FERREIRA,36285885,2015,11,MS,1,-12.0949155,-45.7993273
7592477,,DF,Brasília,UPA SOBRADINHO,SOBRADINHO II,1,DF 420 KM2 COMPLEXO DE SAUDE,,2015,11,MS,3,-15.6300523,-47.803141
7641117,,AL,Delmiro Gouveia,UPA DE DELMIIRO GOUVEIA,NOVO,S/N,AV ANTONIO JOSE DA COSTA,8236412414,2015,11,MS,2,-9.3857595,-37.9990194
7514948,60055-000,CE,Fortaleza,UNIDADE PRONTO ATENDIMENTO ITAPERI,ITAPERI,S/N,RUA BETEL,32952768,2015,11,MS,3,-3.7950622,-38.5540085
7148984,44695-000,BA,Capim Grosso,UPA UNIDADE DE PRONTO ATENDIMENTO CAPIM GROSSO,NOVO OESTE,S/N,AV JOAO DAMASCENDO,36511509,2015,11,MS,1,-11.3776551,-40.0206943
7037112,86066-000,PR,Londrina,UPA SABARA,NOVO SABARA,2390,AV ARTHUR THOMAS,43 3372 3900,2015,11,MS,3,-23.315425,-51.2096898
2422077,49000-800,SE,Porto da Folha,UNIDADE DE PRONTO ATENDIMENTO 24 H DR FRANCISCO ROLLEMBERG,CENTRO,226,PRACA ANTONIO PINTO DE REZENDE,,2015,11,MS,1,-9.9197408,-37.2757585
6855334,,RJ,Itaperuna,UPA ITAPERUNA,CIDADE NOVA,01,RUA E,22 38224657,2015,11,MS,3,-21.2208925,-41.8790809
6950655,11471020,SP,Guarujá,UPA JARDIM BOA ESPERANCA JORGE DE JESUS ALMEIDA GUARUJA,JD BOA ESPERANCA,S/N,RUA MARIO DAIGE,33551935,2015,11,MS,2,-23.9604481,-46.2775319
6950655,11471020,SP,Guarujá,UPA JARDIM BOA ESPERANCA JORGE DE JESUS ALMEIDA GUARUJA,JD BOA ESPERANCA,S/N,RUA MARIO DAIGE,33551935,2015,11,MS,2,-23.9604481,-46.2775319
10049,,MS,Campo Grande,UPA DR WALFRIDO ARRUDA CORONEL ANTONINO,CORONEL ANTONINO,S/N,RUA DR MEIRELES,67-33144191/33144195,2015,11,MS,3,-20.4312701,-54.5992088
7015887,97045070,RS,Santa Maria,UPA 24 H SANTA MARIA RS,PERPETUO SOCORRO,188,RUA ARY LAGRANHA DOMINGUES,5530261900,2015,11,MS,3,-29.6725645,-53.8080434
7548311,,MG,Poços de Caldas,UPA POCOS DE CALDAS,JOSE CARLOS,0,RUA BANDEIRA DO SUL,3536975398,2015,11,MS,3,-21.7859274,-46.5503854
10081,,MS,Campo Grande,UPA DR ALESSANDRO MARTINS DE SOUZA E SILVA VILA ALMEIDA,VILA PALMIRA,S/N,RUA MINISTRO JOSE LINHARES,67-33147324/33147323,2015,11,MS,2,-20.4396226,-54.6569669
6535798,,SP,São Bernardo do Campo,UPA DEMARCHI BATISTINI,DEMARCHI,303,RUA VALDOMIRO LUIZ,4368-4333,2015,11,MS,2,-23.744837,-46.5642723
7061773,37048-360,MG,Varginha,UPA FRANCISCO CORREA DE CARVALHO,PADRE VITOR,113,AVENIDA FARMACEUTICO JAIR SANTANA,,2015,11,MS,3,-21.5723508,-45.412858
7596871,41180900,BA,Salvador,UPA DO CABULA,SABOEIRO,S/N,ESTRADA SABOEIRO,(71)33873404,2015,11,MS,3,-12.9576957,-38.4472774
7463227,,PR,Guarapuava,UPA 24H BATEL,BATEL,1701,RUA BARAO DO CAPANEMA,42 36239719,2015,11,MS,1,-25.402968,-51.4714982
6870066,27.521-750,RJ,Resende,UPA 24 HS RESENDE,COMERCIAL NOVA RESEN,S/N,AVENIDA ADAUTO EMILIANO SOARES,(24) 3354-5075,2015,11,MS,3,-22.4709659,-44.4513347
7134665,,SP,Hortolândia,UPA MANOEL GEORGINO LOPES,JD NOVA HORTOLANDIA,185,RUA JOSE MARTIM DOS ANJOS,,2015,11,MS,1,-22.8547276,-47.2106594
2755289,,TO,Palmas,UNIDADE DE PRONTO ATENDIMENTO NORTE,PLANO DIRETOR NORTE,S/N,203 NORTE ALAMEDA LO 06 APM 02,(63) 32185110,2015,11,MS,2,-10.1701661,-48.3339796
7550901,,RS,Santa Rosa,UPA 24 HORAS SANTA ROSA,CENTRO,1011,RUA CAXIAS,,2015,11,MS,2,-27.8668718,-54.4865701
7684371,,SP,São Carlos,UNIDADE PRONTO ATENDIMENTO MARIA DORIS DE CAMPOS P LOPES,JARDIM ACAPULCO,S/N,AV JOAO NAVARRO SIQUEROLI,16 3375-6003,2015,11,MS,1,-22.0087082,-47.8909263
6964370,,PB,Guarabira,UPA UNIDADE DE PRONTO ATENDIMENTO DE GUARABIRA,CONJUNTO PRO MARADIA,S/N,RODOVIA PB 57,,2015,11,MS,1,-6.8512706,-35.4922422
23310,30130-007,MG,Belo Horizonte,UNIDADE DE PRONTO ATENDIMENTO OESTE,JARDIM AMERICA,1710,AV BARAO HOMEM DE MELO,(31)32777044,2015,11,MS,3,-19.951187,-43.9679816
2496461,,RO,Porto Velho,UPA ZONA LESTE,TANCREDO NEVES,S/N,AV MAMORE COM RIO DE JANEIRO,(69)2261135,2015,11,MS,2,-8.7609455,-63.83747
7313233,68448-000,PA,Breu Branco,UNIDADE DE PRONTO ATENDIMENTO MANOEL FRANCISCO DE AGUIAR,CENTRO,S/N,AV BELEM,94737860788,2015,11,MS,1,-3.7766145,-49.568394
6875343,39803-013,MG,Teófilo Otoni,UPA 24 HORAS,CENTRO,1284,AVENIDA GETULIO VARGAS,,2015,11,MS,3,-17.8588927,-41.5086036
7433530,,MS,Três Lagoas,UPA UNIDADE DE PRONTO ATENDIMENTO 24H,PARQUE SAO CARLOS,1855,RUA IRMAOS SPINELLI,67 3929-1254,2015,11,MS,2,-20.8052087,-51.7163718
6542891,,RJ,Araruama,UPA UNIDADE DE PRONTO ATENDIMENTO DE ARARUAMA,CENTRO,S/N,AV GETULIO VARGAS,26657300,2015,11,MS,3,-22.8727789,-42.3367302
6512925,21061-600,RJ,Rio de Janeiro,SMS UPA 24H COMPLEXO DO ALEMAO AP 31,BONSUCESSO,221,ESTRADA DO ITARARE,,2015,11,MS,2,-22.8588601,-43.2673983
7340885,15809-007,SP,Catanduva,UPA PARQUE IRACEMA,PARQUE IRACEMA,1500,AVENIDA THEODORO ROSA FILHO,17-35252665,2015,11,MS,2,-21.1408311,-48.9558724
